,age,workclass,fnlgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,Predicted
0,39,7,77516,13,4,1,1,4,1,2174,0,40,39,0,0
1,50,6,83311,13,2,4,0,4,1,0,0,13,39,0,0
2,38,4,215646,9,0,6,1,4,1,0,0,40,39,0,0
3,53,4,234721,7,2,6,0,2,1,0,0,40,39,0,0
4,28,4,338409,13,2,10,5,2,0,0,0,40,5,0,1
5,37,4,284582,14,2,4,5,4,0,0,0,40,39,0,1
6,49,4,160187,5,3,8,1,2,0,0,0,16,23,0,0
7,52,6,209642,9,2,4,0,4,1,0,0,45,39,1,0
8,31,4,45781,14,4,10,1,4,0,14084,0,50,39,1,1
9,42,4,159449,13,2,4,0,4,1,5178,0,40,39,1,1
10,37,4,280464,10,2,4,0,2,1,0,0,80,39,1,1
11,30,7,141297,13,2,10,0,1,1,0,0,40,19,1,0
12,23,4,122272,13,4,1,3,4,0,0,0,30,39,0,0
13,32,4,205019,12,4,12,1,2,1,0,0,50,39,0,0
14,40,4,121772,11,2,3,0,1,1,0,0,40,0,1,0
15,34,4,245487,4,2,14,0,0,1,0,0,45,26,0,0
16,25,6,176756,9,4,5,3,4,1,0,0,35,39,0,0
17,32,4,186824,9,4,7,4,4,1,0,0,40,39,0,0
18,38,4,28887,7,2,12,0,4,1,0,0,50,39,0,0
19,43,6,292175,14,0,4,4,4,0,0,0,45,39,1,0
20,40,4,193524,16,2,10,0,4,1,0,0,60,39,1,1
21,54,4,302146,9,5,8,4,2,0,0,0,20,39,0,0
22,35,1,76845,5,2,5,0,2,1,0,0,40,39,0,0
23,43,4,117037,7,2,14,0,4,1,0,2042,40,39,0,0
24,59,4,109015,9,0,13,4,4,0,0,0,40,39,0,0
25,56,2,216851,13,2,13,0,4,1,0,0,40,39,1,1
26,19,4,168294,9,4,3,3,4,1,0,0,40,39,0,0
27,54,0,180211,10,2,0,0,1,1,0,0,60,35,1,1
28,39,4,367260,9,0,4,1,4,1,0,0,80,39,0,0
29,49,4,193366,9,2,3,0,4,1,0,0,40,39,0,0
30,23,2,190709,12,4,11,1,4,1,0,0,52,39,0,0
31,20,4,266015,10,4,12,3,2,1,0,0,44,39,0,0
32,45,4,386940,13,0,4,3,4,1,0,1408,40,39,0,0
33,30,1,59951,10,2,1,3,4,1,0,0,40,39,0,0
34,22,7,311512,10,2,8,0,2,1,0,0,15,39,0,0
35,48,4,242406,7,4,7,4,4,1,0,0,40,33,0,0
36,21,4,197200,10,4,7,3,4,1,0,0,40,39,0,0
37,19,4,544091,9,1,1,5,4,0,0,0,25,39,0,0
38,31,4,84154,10,2,12,0,4,1,0,0,38,0,1,0
39,48,6,265477,12,2,10,0,4,1,0,0,40,39,0,0
40,31,4,507875,5,2,7,0,4,1,0,0,43,39,0,0
41,53,6,88506,13,2,10,0,4,1,0,0,40,39,0,1
42,24,4,172987,13,2,13,0,4,1,0,0,50,39,0,0
43,49,4,94638,9,5,1,4,4,0,0,0,40,39,0,0
44,25,4,289980,9,4,6,1,4,1,0,0,35,39,0,0
45,57,1,337895,13,2,10,0,2,1,0,0,40,39,1,1
46,53,4,144361,9,2,7,0,4,1,0,0,38,39,0,0
47,44,4,128354,14,0,4,4,4,0,0,0,40,39,0,0
48,41,7,101603,11,2,3,0,4,1,0,0,40,39,0,0
49,29,4,271466,11,4,10,1,4,1,0,0,43,39,0,0
50,25,4,32275,10,2,4,5,3,0,0,0,40,39,0,0
51,18,4,226956,9,4,8,3,4,0,0,0,30,0,0,0
52,47,4,51835,15,2,10,5,4,0,0,1902,60,16,1,1
53,50,1,251585,13,0,4,1,4,1,0,0,55,39,1,1
54,47,5,109832,9,0,4,1,4,1,0,0,60,39,0,0
55,43,4,237993,10,2,13,0,4,1,0,0,40,39,1,1
56,46,4,216666,3,2,7,0,4,1,0,0,40,26,0,0
57,35,4,56352,11,2,8,0,4,1,0,0,40,33,0,0
58,41,4,147372,9,2,1,0,4,1,0,0,48,39,0,0
59,30,4,188146,9,2,7,0,4,1,5013,0,40,39,0,0
60,30,4,59496,13,2,12,0,4,1,2407,0,40,39,0,0
61,32,0,293936,4,3,0,1,4,1,0,0,40,0,0,0
62,48,4,149640,9,2,14,0,4,1,0,0,40,39,0,0
63,42,4,116632,16,2,10,0,4,1,0,0,45,39,1,1
64,29,4,105598,10,0,13,1,4,1,0,0,58,39,0,0
65,36,4,155537,9,2,3,0,4,1,0,0,40,39,0,0
66,28,4,183175,10,0,1,1,4,0,0,0,40,39,0,0
67,53,4,169846,9,2,1,5,4,0,0,0,40,39,1,0
68,49,5,191681,10,2,4,0,4,1,0,0,50,39,1,1
69,25,0,200681,10,4,0,3,4,1,0,0,40,39,0,0
70,19,4,101509,10,4,10,3,4,1,0,0,32,39,0,0
71,31,4,309974,13,5,12,3,2,0,0,0,40,39,0,0
72,29,6,162298,13,2,12,0,4,1,0,0,70,39,1,1
73,23,4,211678,10,4,7,1,4,1,0,0,40,39,0,0
74,79,4,124744,10,2,10,2,4,1,0,0,20,39,0,0
75,27,4,213921,9,4,8,3,4,1,0,0,40,26,0,0
76,40,4,32214,12,2,1,0,4,1,0,0,40,39,0,0
77,67,0,212759,6,2,0,0,4,1,0,0,2,39,0,0
78,18,4,309634,7,4,8,3,4,0,0,0,22,39,0,0
79,31,2,125927,4,2,5,0,4,1,0,0,40,39,0,0
80,18,4,446839,9,4,12,1,4,1,0,0,30,39,0,0
81,52,4,276515,13,2,8,0,4,1,0,0,40,5,0,0
82,46,4,51618,9,2,8,5,4,0,0,0,40,39,0,0
83,59,4,159937,9,2,12,0,4,1,0,0,48,39,0,0
84,44,4,343591,9,0,3,1,4,0,14344,0,40,39,1,1
85,53,4,346253,9,0,12,3,4,0,0,0,35,39,0,0
86,49,2,268234,9,2,11,0,4,1,0,0,40,39,1,0
87,33,4,202051,14,2,10,0,4,1,0,0,50,39,0,1
88,30,4,54334,5,4,12,1,4,1,0,0,40,39,0,0
89,43,1,410867,16,4,10,1,4,0,0,0,50,39,1,1
90,57,4,249977,11,2,10,0,4,1,0,0,40,39,0,1
91,37,4,286730,10,0,3,4,4,0,0,0,40,39,0,0
92,28,4,212563,10,0,7,4,2,0,0,0,25,39,0,0
93,30,4,117747,9,2,12,5,1,0,0,1573,35,0,0,0
94,34,2,226296,13,2,11,0,4,1,0,0,40,39,1,1
95,29,2,115585,10,4,6,1,4,1,0,0,50,39,0,0
96,48,6,191277,16,2,10,0,4,1,0,1902,60,39,1,1
97,37,4,202683,10,2,12,0,4,1,0,0,48,39,1,1
98,48,4,171095,12,0,4,4,4,0,0,0,40,9,0,0
99,32,1,249409,9,4,8,3,2,1,0,0,40,39,0,0
